{7c6c0c2d-176d-45c9-b01a-6e310b632946} bank:/Banks/Ambience
{51a83855-b274-403c-8360-a40feddd8071} bank:/Banks/Gameplay
{3251e1aa-c668-4754-bec3-28965d42ff5d} bank:/Banks/Master
{aa4cc17e-b713-0b16-388a-a268acb1f9c5} bank:/Banks/Master.strings
{bb49c63f-5732-479c-a4da-70e16935e571} bank:/Banks/Music
{2bf608fa-a357-4730-ac12-49aa1855c892} bank:/FootstepsDirt
{5c124223-6acc-40ef-bd4c-ac75584bd2b3} bus:/
{6a6449d2-a4e0-4e92-8482-c82114a5ab7d} bus:/Reverb
{a60f603f-f012-4f6f-8baa-668b0651682e} event:/Events/Ambience/Dead/DeadWind1
{8b5e460a-f3a2-4654-8af1-b48cfb891877} event:/Events/Ambience/Dead/DeadWind2
{afeb062f-f736-4342-9481-483c1dda220a} event:/Events/Ambience/Dead/DeadWind3
{ca248d34-a809-4813-a9b0-6045acf0f328} event:/Events/Ambience/Dead/DeadWind4
{e1b9e7a2-6f87-4a61-aed5-61e62fd19dbc} event:/Events/Ambience/Dead/DeadWind5
{61991631-bc99-4ea2-b982-8ae8837318b2} event:/Events/Ambience/Dead/DeadWind6
{115bd82e-47c2-4476-bb64-95921b556a23} event:/Events/Ambience/Dead/DeadWind7
{b2bc8bed-8f68-40ce-81d4-374fe1166483} event:/Events/Ambience/Dead/DeadWind8
{50d21926-65da-4f1d-921f-df7c9ee5f008} event:/Events/Ambience/Dead/Parasite
{c6a810d7-4f7b-40c3-95ac-1e36a6b0e891} event:/Events/Ambience/Dead/Parasite2
{435f4dd2-7654-4e32-bcb7-4b1f6c2ab0fa} event:/Events/Ambience/Dead/Parasite3
{ae742737-2ade-47c9-b9d2-28a4cb3ca244} event:/Events/Ambience/Dead/Parasite4
{c7313efc-e7bc-44dd-ac6f-dd617ce85bb4} event:/Events/Ambience/Dead/Parasite5
{0336541e-7fc3-4030-a16e-7524e489961f} event:/Events/Ambience/Living/Animals1
{b1841301-a28b-48da-9346-fc0877b50d27} event:/Events/Ambience/Living/Animals2
{38d5eaa7-1e42-442a-a8d9-85301521f13b} event:/Events/Ambience/Living/Animals3
{3c6b49d4-01d0-4fbf-b5a1-2b54aa392ebe} event:/Events/Ambience/Living/Animals4
{bb1e08c6-eb8b-49ec-8ef1-0261ac0fbc02} event:/Events/Ambience/Living/Animals5
{fa0fef82-705a-480e-af39-000f69c98081} event:/Events/Ambience/Living/Birds1
{5fcb3cd7-9664-4c8b-82a8-1d1b689bfa62} event:/Events/Ambience/Living/Birds2
{32ef2181-9461-4841-9bdf-2d0058d083a0} event:/Events/Ambience/Nature_Evolving
{49d4fa10-4b2b-4697-9f80-59cc120d44ac} event:/Events/Ambience/WaterAmbience
{194d33e4-f0cb-4afc-8bfb-c38a7217b6ce} event:/Events/Ambience/Waterfall
{e897b659-bea2-46e7-a407-8081191e7195} event:/Events/Feedback/Energy_Collect
{b4c48423-2c5b-46b7-9599-19e2a87d7f81} event:/Events/Feedback/Energy_Spawn
{a67daec3-9251-46f6-a978-a1254738da20} event:/Events/Feedback/Lily_Spawn
{51df1dc0-3c71-4ba2-a361-a56d509c9d87} event:/Events/Feedback/Lily_Walk
{072747a1-a8d9-4b89-8aa5-3ef6e6b91ff7} event:/Events/Feedback/Nature_Growing
{ed9d9054-fc13-4375-9d33-63028bf327e0} event:/Events/Feedback/Puzzle_Resolved
{df5f0449-f30b-4268-b166-cd71e14b5f20} event:/Events/Feedback/Reaction_Chain_Melody
{127f7bfe-85a3-4eb9-8e49-9cd36be3d3ca} event:/Events/Feedback/Reaction_Chain_Nature
{43b583c2-6916-4085-b587-14b49ae9cc48} event:/Events/Feedback/Reaction_Chain_Parasite
{7e985045-a82d-4d53-9c36-7b7436f01558} event:/Events/Feedback/Reaction_Chain_Water
{17984b84-42a9-4ee9-b4c2-b7958de8dd2d} event:/Events/Feedback/Reaction_Note
{25ec2cc4-d5a8-4d4f-a6c8-c855cd8d9fd2} event:/Events/Feedback/Tile_Link
{0c7d49d1-deb6-45c5-834d-aeed1a515592} event:/Events/Feedback/Tile_Nature_Place_Success
{5e201584-30d8-4217-9201-fa3565215490} event:/Events/Feedback/Tile_Placement_Invalid
{ba306b38-c5e1-41d6-957e-a3c94eb22793} event:/Events/Feedback/Timeline_Reset
{09f70088-90f6-4a60-968f-fcd196faee31} event:/Events/Feedback/Timeline_Undo
{e0b6bae7-bc20-4a63-94ec-e8105b6e8e9a} event:/Events/Feedback/Tree_Link_Motif
{49123474-1295-4f90-942d-d673fac96553} event:/Events/Feedback/UIClick
{46b3a617-2e5c-4f42-9953-7ed9beface69} event:/Events/Feedback/UISwitchTitle
{9a1c0400-2b4a-4488-a32e-f630182951c9} event:/Events/Feedback/UseGate
{694c8170-ee60-4d63-bf0e-2255bea28321} event:/Events/Gameplay/Avatar_Engulfed_Vocal
{eaa02ec6-5bd9-4d63-be5c-a8b7b1469d26} event:/Events/Gameplay/Avatar_Footstep_Dirt
{ae73a08c-9750-4e84-8557-245dc6753c40} event:/Events/Gameplay/Avatar_Surprise_High
{f2c8e5e3-7fc0-43e7-a22f-1bf8d739baf0} event:/Events/Gameplay/Avatar_Surprise_Low
{170fd2a6-febe-496b-9db2-31bb572569e8} event:/Events/Gameplay/Avatar_Surprise_Medium
{f404cde1-1927-4a18-836f-368486d26db1} event:/Events/Gameplay/Avatar_Victory_Vocal
{f9588c4e-7de8-43c0-8066-07d66ff7ead0} event:/Events/Gameplay/Tile_Bridge_Grow
{815095ef-a257-42ec-a6a3-9dfed09297b9} event:/Events/Gameplay/Tile_Earth_Dig
{a3022eea-3bd0-4f89-b1f9-2c91f68d6b8d} event:/Events/Gameplay/Tile_Parasite_Die_Water
{5a3762ad-5c29-4ba8-9f81-40b6b96dc937} event:/Events/Gameplay/Tile_Parasite_Engulf
{c7a74986-df0a-4445-b1d9-1e8f62d24cd8} event:/Events/Gameplay/Tile_Parasite_Spread
{22ef9e8c-fc4a-4904-8b7b-673cdef82763} event:/Events/Gameplay/Tile_Plant
{1be3f7e2-e60b-4f1e-a0e4-92daf3a7995c} event:/Events/Gameplay/Tile_Water_Fill
{14f77c56-b080-4f88-80e3-b53185d55ac9} event:/Events/Music/Level_Ambience_Evolving
{60fccef4-446e-44dc-9e8d-2cfa6f096182} event:/Events/Music/Music_01
{ccb25913-5a61-4f06-be61-de486048a940} event:/Events/Music/Music_02
{399347a2-d56a-49a4-b280-162c1a9c3e24} event:/Events/Music/Music_03
{988d95ad-a260-4a3b-b2f1-ec4213fcb321} event:/Events/Music/Music_04
{cca13b1e-0f8b-4403-b0fc-2e4524337b51} event:/Events/Music/Music_MainTheme
{d2b156be-e840-4ff5-9c4f-b1ed4368f477} event:/Events/Music/Music_MainThemeVocals
{1431ea48-8eb3-473b-b515-4133dcc042c4} event:/Events/Music/Music_Title
{7b66b7b4-e702-40c0-891f-e23eea1de822} event:/Events/Narration/VA_Death
